 | Epoch 0 | Loss: 0.35064512491226196 | Accuracy: 84.375%
 | Epoch 0 | Loss: 0.34282004833221436 | Accuracy: 84.375%
 | Epoch 0 | Loss: 0.34231898188591003 | Accuracy: 85.9375%
 | Epoch 0 | Loss: 0.25961482524871826 | Accuracy: 90.625%
 | Epoch 0 | Loss: 0.3761381208896637 | Accuracy: 83.59375%
 | Epoch 0 | Loss: 0.4718237817287445 | Accuracy: 76.5625%
 | Epoch 0 | Loss: 0.3643088638782501 | Accuracy: 82.8125%
 | Epoch 0 | Loss: 0.2941320836544037 | Accuracy: 89.0625%
 | Epoch 0 | Loss: 0.36479130387306213 | Accuracy: 82.8125%
 | Epoch 0 | Loss: 0.33576542139053345 | Accuracy: 85.15625%
 | Epoch 0 | Loss: 0.34107115864753723 | Accuracy: 85.15625%
 | Epoch 0 | Loss: 0.33880794048309326 | Accuracy: 85.15625%
 | Epoch 0 | Loss: 0.34279048442840576 | Accuracy: 83.59375%
 | Epoch 0 | Loss: 0.30021870136260986 | Accuracy: 88.28125%
 | Epoch 0 | Loss: 0.34781283140182495 | Accuracy: 84.375%
 | Epoch 0 | Loss: 0.28339341282844543 | Accuracy: 89.0625%
 | Epoch 0 | Loss: 0.2855985760688782 | Accuracy: 87.5%
 | Epoch 0 | Loss: 0.37563633918762207 | Accuracy: 80.46875%
 | Epoch 0 | Loss: 0.2970944344997406 | Accuracy: 88.28125%
 | Epoch 0 | Loss: 0.34173133969306946 | Accuracy: 84.375%
 | Epoch 0 | Loss: 0.30004727840423584 | Accuracy: 88.28125%
 | Epoch 0 | Loss: 0.40733760595321655 | Accuracy: 81.25%
 | Epoch 0 | Loss: 0.35107171535491943 | Accuracy: 84.375%
 | Epoch 0 | Loss: 0.3364388346672058 | Accuracy: 83.59375%
 | Epoch 0 | Loss: 0.32976144552230835 | Accuracy: 85.15625%
 | Epoch 0 | Loss: 0.31103354692459106 | Accuracy: 85.15625%
 | Epoch 0 | Loss: 0.28130048513412476 | Accuracy: 86.71875%
 | Epoch 0 | Loss: 0.3140425384044647 | Accuracy: 85.9375%
 | Epoch 0 | Loss: 0.3801528215408325 | Accuracy: 80.46875%
 | Epoch 0 | Loss: 0.3329174220561981 | Accuracy: 84.375%
 | Epoch 0 | Loss: 0.29921871423721313 | Accuracy: 86.71875%
 | Epoch 0 | Loss: 0.3510017395019531 | Accuracy: 82.8125%
 | Epoch 0 | Loss: 0.3251776099205017 | Accuracy: 83.59375%
 | Epoch 0 | Loss: 0.3033280670642853 | Accuracy: 85.15625%
 | Epoch 0 | Loss: 0.3551035523414612 | Accuracy: 83.59375%
 | Epoch 0 | Loss: 0.24176841974258423 | Accuracy: 92.1875%
 | Epoch 0 | Loss: 0.30712926387786865 | Accuracy: 85.9375%
 | Epoch 0 | Loss: 0.2825315296649933 | Accuracy: 86.71875%
 | Epoch 0 | Loss: 0.31120002269744873 | Accuracy: 85.9375%
 | Epoch 0 | Loss: 0.2629793584346771 | Accuracy: 88.28125%
 | Epoch 0 | Loss: 0.3248702585697174 | Accuracy: 83.59375%
 | Epoch 0 | Loss: 0.3533000946044922 | Accuracy: 82.03125%
 | Epoch 0 | Loss: 0.2900421917438507 | Accuracy: 89.0625%
 | Epoch 0 | Loss: 0.2760259807109833 | Accuracy: 85.9375%
 | Epoch 0 | Loss: 0.36893177032470703 | Accuracy: 83.59375%
 | Epoch 0 | Loss: 0.33999478816986084 | Accuracy: 84.375%
 | Epoch 0 | Loss: 0.31521153450012207 | Accuracy: 84.375%
 | Epoch 0 | Loss: 0.31915149092674255 | Accuracy: 83.59375%
 | Epoch 0 | Loss: 0.30184412002563477 | Accuracy: 86.71875%
 | Epoch 0 | Loss: 0.2763718068599701 | Accuracy: 89.0625%
 | Epoch 0 | Loss: 0.3499867618083954 | Accuracy: 81.25%
 | Epoch 0 | Loss: 0.3345275819301605 | Accuracy: 85.15625%
 | Epoch 0 | Loss: 0.3084559738636017 | Accuracy: 87.5%
 | Epoch 0 | Loss: 0.23794227838516235 | Accuracy: 89.84375%
 | Epoch 0 | Loss: 0.2831780016422272 | Accuracy: 85.9375%
 | Epoch 0 | Loss: 0.2865140736103058 | Accuracy: 85.9375%
 | Epoch 0 | Loss: 0.34363171458244324 | Accuracy: 82.8125%
 | Epoch 0 | Loss: 0.34181976318359375 | Accuracy: 80.46875%
 | Epoch 0 | Loss: 0.31835439801216125 | Accuracy: 84.375%
