Namespace(gpu=3, seed=0, root_dir='/data', label_noise=0.0, results_csv='/home/sjoshi/spuco_experiments/celeba/gb.csv', arch='resnet50', batch_size=128, num_epochs=50, lr=0.0001, weight_decay=0.1, momentum=0.9)
GB | Epoch 0 | Loss: 0.547855794429779 | Accuracy: 86.71875%
GB | Epoch 0 | Loss: 0.609183669090271 | Accuracy: 70.3125%
GB | Epoch 0 | Loss: 0.5789803266525269 | Accuracy: 78.125%
GB | Epoch 0 | Loss: 0.5591121912002563 | Accuracy: 82.8125%
GB | Epoch 0 | Loss: 0.5492439866065979 | Accuracy: 82.03125%
GB | Epoch 0 | Loss: 0.5612231492996216 | Accuracy: 78.90625%
GB | Epoch 0 | Loss: 0.5680334568023682 | Accuracy: 76.5625%
GB | Epoch 0 | Loss: 0.5785937905311584 | Accuracy: 76.5625%
GB | Epoch 0 | Loss: 0.5615875124931335 | Accuracy: 76.5625%
GB | Epoch 0 | Loss: 0.5692847967147827 | Accuracy: 78.90625%
GB | Epoch 0 | Loss: 0.5587645769119263 | Accuracy: 81.25%
GB | Epoch 0 | Loss: 0.5557333827018738 | Accuracy: 83.59375%
GB | Epoch 0 | Loss: 0.5409011840820312 | Accuracy: 78.90625%
GB | Epoch 0 | Loss: 0.545637845993042 | Accuracy: 82.03125%
GB | Epoch 0 | Loss: 0.566829264163971 | Accuracy: 78.125%
GB | Epoch 0 | Loss: 0.5340027213096619 | Accuracy: 82.8125%
GB | Epoch 0 | Loss: 0.5411857962608337 | Accuracy: 82.03125%
GB | Epoch 0 | Loss: 0.5649200677871704 | Accuracy: 82.8125%
GB | Epoch 0 | Loss: 0.5498093366622925 | Accuracy: 81.25%
GB | Epoch 0 | Loss: 0.5148640275001526 | Accuracy: 86.71875%
GB | Epoch 0 | Loss: 0.5288630723953247 | Accuracy: 82.8125%
GB | Epoch 0 | Loss: 0.5322354435920715 | Accuracy: 79.6875%
GB | Epoch 0 | Loss: 0.534919798374176 | Accuracy: 81.25%
GB | Epoch 0 | Loss: 0.5325071811676025 | Accuracy: 82.8125%
GB | Epoch 0 | Loss: 0.5771922469139099 | Accuracy: 75.0%
GB | Epoch 0 | Loss: 0.5187872648239136 | Accuracy: 86.71875%
GB | Epoch 0 | Loss: 0.5435903072357178 | Accuracy: 77.34375%
GB | Epoch 0 | Loss: 0.5331375002861023 | Accuracy: 78.90625%
GB | Epoch 0 | Loss: 0.4956687390804291 | Accuracy: 85.9375%
GB | Epoch 0 | Loss: 0.5453357696533203 | Accuracy: 79.6875%
GB | Epoch 0 | Loss: 0.5053345561027527 | Accuracy: 85.15625%
GB | Epoch 0 | Loss: 0.5267053842544556 | Accuracy: 81.25%
GB | Epoch 0 | Loss: 0.5260816812515259 | Accuracy: 82.8125%
GB | Epoch 0 | Loss: 0.5336979031562805 | Accuracy: 80.46875%
GB | Epoch 0 | Loss: 0.544391393661499 | Accuracy: 77.34375%
GB | Epoch 0 | Loss: 0.5512503981590271 | Accuracy: 74.21875%
GB | Epoch 0 | Loss: 0.5212211608886719 | Accuracy: 83.59375%
GB | Epoch 0 | Loss: 0.506363034248352 | Accuracy: 82.8125%
GB | Epoch 0 | Loss: 0.5268495678901672 | Accuracy: 80.46875%
GB | Epoch 0 | Loss: 0.5185275077819824 | Accuracy: 80.46875%
GB | Epoch 0 | Loss: 0.4895824193954468 | Accuracy: 85.15625%
GB | Epoch 0 | Loss: 0.5233363509178162 | Accuracy: 80.46875%
GB | Epoch 0 | Loss: 0.5107474327087402 | Accuracy: 83.59375%
GB | Epoch 0 | Loss: 0.5062997937202454 | Accuracy: 80.46875%
GB | Epoch 0 | Loss: 0.5433638691902161 | Accuracy: 78.90625%
GB | Epoch 0 | Loss: 0.5322680473327637 | Accuracy: 77.34375%
GB | Epoch 0 | Loss: 0.4698629081249237 | Accuracy: 84.375%
GB | Epoch 0 | Loss: 0.4805912375450134 | Accuracy: 84.375%
GB | Epoch 0 | Loss: 0.5022621154785156 | Accuracy: 84.375%
GB | Epoch 0 | Loss: 0.5153875350952148 | Accuracy: 80.46875%
GB | Epoch 0 | Loss: 0.49502629041671753 | Accuracy: 84.375%
GB | Epoch 0 | Loss: 0.4963324964046478 | Accuracy: 85.15625%
GB | Epoch 0 | Loss: 0.497707724571228 | Accuracy: 79.6875%
GB | Epoch 0 | Loss: 0.4724501967430115 | Accuracy: 86.71875%
GB | Epoch 0 | Loss: 0.5131880640983582 | Accuracy: 79.6875%
GB | Epoch 0 | Loss: 0.4857727587223053 | Accuracy: 86.71875%
GB | Epoch 0 | Loss: 0.48697641491889954 | Accuracy: 86.71875%
GB | Epoch 0 | Loss: 0.5021849274635315 | Accuracy: 86.71875%
GB | Epoch 0 | Loss: 0.49756333231925964 | Accuracy: 84.375%
GB | Epoch 0 | Loss: 0.4802522659301758 | Accuracy: 83.59375%
GB | Epoch 0 | Loss: 0.48385295271873474 | Accuracy: 87.5%
