timestamp,seed,pretrained,arch,lr,weight_decay,momentum,num_epochs,batch_size,worst_group_accuracy,average_accuracy,early_stopping_worst_group_accuracy,early_stopping_average_accuracy,val_spurious_attribute_prediction,val_wg_acc,val_avg_acc,test_spurious_attribute_prediction,test_wg_acc,test_avg_acc,alg,gpu,root_dir,label_noise,results_csv,stdout_file,wandb,wandb_project,wandb_entity,wandb_run_name,val_early_stopping_wg_acc,val_early_stopping_avg_acc,test_early_stopping_wg_acc,test_early_stopping_avg_acc,infer_num_epochs,upsample_factor
2024-01-24 15:30:46.110729,0,True,cliprn50,1e-05,0.0001,0.9,100,128,18.0,53.830952380952375,17.2,51.39285714285714,,,,,,,,,,,,,,,,,,,,,,
2024-01-24 17:20:39.915992,0,,cliprn50,0.0001,0.0001,0.9,40,128,,,,,93.76528117359412,50.24999999999999,71.25446263695679,81.92231075697211,20.23809523809524,71.21884947503563,erm,0.0,/data/spucosun/3.0,0.0,/home/sjoshi/spuco_experiments/spuco_animals_clip/results.csv,2024-01-2414:38:12.344634-spuco_sun_lrmix.out,False,spuco,,spuco_sun_lrmix,,,,,,
2024-01-24 21:30:37.083173,0,True,,0.001,1.0,0.9,100,128,0.0,25.0,0.0,25.0,,, JTT
2024-01-24 22:51:17.828503,0,,cliprn50,0.001,0.0001,0.9,100,128,,,,,,8.0,90.95238095238096,,11.8,90.71666666666664,dfr,1.0,/data,0.0,/home/sjoshi/spuco_experiments/spuco_animals_clip/results.csv,,False,,,,4.0,62.80952380952381,2.2,61.27857142857143,10.0,100.0
2024-01-24 23:33:58.923030,0,True,cliprn50,1e-05,0.0001,0.9,100,128,40.4,93.17619047619047,70.6,81.49047619047617,,,,,,,,,,,,,,,,,,,,,,
