Namespace(gpu=0, seed=0, root_dir='/data/spucosun/3.0', label_noise=0.0, results_csv='/home/sjoshi/spuco_experiments/spuco_animals_clip/results.csv', stdout_file='2024-01-2414:38:12.344634-spuco_sun_lrmix.out', arch='cliprn50', batch_size=128, num_epochs=40, lr=0.0001, weight_decay=0.0001, momentum=0.9, wandb=False, wandb_project='spuco', wandb_entity=None, wandb_run_name='spuco_sun_lrmix')
ERM | Epoch 0 | Loss: 1.3833973407745361 | Accuracy: 28.90625%
ERM | Epoch 0 | Loss: 1.3833978176116943 | Accuracy: 29.6875%
ERM | Epoch 0 | Loss: 1.3787378072738647 | Accuracy: 36.71875%
ERM | Epoch 0 | Loss: 1.381611704826355 | Accuracy: 32.8125%
ERM | Epoch 0 | Loss: 1.3804336786270142 | Accuracy: 34.375%
ERM | Epoch 0 | Loss: 1.378498911857605 | Accuracy: 44.53125%
ERM | Epoch 0 | Loss: 1.3784774541854858 | Accuracy: 35.9375%
ERM | Epoch 0 | Loss: 1.3794223070144653 | Accuracy: 35.9375%
ERM | Epoch 0 | Loss: 1.380540370941162 | Accuracy: 35.15625%
ERM | Epoch 0 | Loss: 1.379486083984375 | Accuracy: 32.8125%
ERM | Epoch 0 | Loss: 1.3765288591384888 | Accuracy: 39.84375%
ERM | Epoch 0 | Loss: 1.381441354751587 | Accuracy: 36.71875%
ERM | Epoch 0 | Loss: 1.3768024444580078 | Accuracy: 46.875%
ERM | Epoch 0 | Loss: 1.3828575611114502 | Accuracy: 28.90625%
ERM | Epoch 0 | Loss: 1.3804315328598022 | Accuracy: 28.125%
ERM | Epoch 0 | Loss: 1.381186604499817 | Accuracy: 28.90625%
ERM | Epoch 0 | Loss: 1.3782873153686523 | Accuracy: 34.375%
ERM | Epoch 0 | Loss: 1.3816969394683838 | Accuracy: 31.25%
ERM | Epoch 0 | Loss: 1.3767813444137573 | Accuracy: 42.96875%
ERM | Epoch 0 | Loss: 1.3820478916168213 | Accuracy: 28.90625%
ERM | Epoch 0 | Loss: 1.3814283609390259 | Accuracy: 33.59375%
ERM | Epoch 0 | Loss: 1.3760021924972534 | Accuracy: 41.40625%
ERM | Epoch 0 | Loss: 1.381011724472046 | Accuracy: 30.46875%
ERM | Epoch 0 | Loss: 1.377957820892334 | Accuracy: 31.25%
ERM | Epoch 0 | Loss: 1.379412055015564 | Accuracy: 33.59375%
ERM | Epoch 0 | Loss: 1.3802095651626587 | Accuracy: 33.59375%
ERM | Epoch 0 | Loss: 1.3789405822753906 | Accuracy: 31.25%
ERM | Epoch 0 | Loss: 1.378220558166504 | Accuracy: 39.84375%
ERM | Epoch 0 | Loss: 1.380620002746582 | Accuracy: 33.59375%
ERM | Epoch 0 | Loss: 1.3808202743530273 | Accuracy: 32.8125%
ERM | Epoch 0 | Loss: 1.3766288757324219 | Accuracy: 44.53125%
ERM | Epoch 0 | Loss: 1.3763248920440674 | Accuracy: 39.0625%
ERM | Epoch 0 | Loss: 1.3776558637619019 | Accuracy: 41.40625%
ERM | Epoch 0 | Loss: 1.3759568929672241 | Accuracy: 36.71875%
ERM | Epoch 0 | Loss: 1.3795758485794067 | Accuracy: 37.5%
ERM | Epoch 0 | Loss: 1.3806891441345215 | Accuracy: 33.59375%
ERM | Epoch 0 | Loss: 1.3794615268707275 | Accuracy: 33.59375%
ERM | Epoch 0 | Loss: 1.3790806531906128 | Accuracy: 30.46875%
ERM | Epoch 0 | Loss: 1.3770464658737183 | Accuracy: 35.9375%
ERM | Epoch 0 | Loss: 1.3765372037887573 | Accuracy: 36.71875%
ERM | Epoch 0 | Loss: 1.3805813789367676 | Accuracy: 32.8125%
ERM | Epoch 0 | Loss: 1.379096269607544 | Accuracy: 36.71875%
ERM | Epoch 0 | Loss: 1.3770508766174316 | Accuracy: 32.03125%
ERM | Epoch 0 | Loss: 1.380516529083252 | Accuracy: 33.59375%
ERM | Epoch 0 | Loss: 1.379644751548767 | Accuracy: 32.03125%
ERM | Epoch 0 | Loss: 1.3755757808685303 | Accuracy: 42.1875%
ERM | Epoch 0 | Loss: 1.3752461671829224 | Accuracy: 46.09375%
ERM | Epoch 0 | Loss: 1.377256155014038 | Accuracy: 39.0625%
ERM | Epoch 0 | Loss: 1.376816987991333 | Accuracy: 41.40625%
ERM | Epoch 0 | Loss: 1.3764840364456177 | Accuracy: 45.3125%
ERM | Epoch 0 | Loss: 1.3767783641815186 | Accuracy: 35.9375%
ERM | Epoch 0 | Loss: 1.3737356662750244 | Accuracy: 42.1875%
ERM | Epoch 0 | Loss: 1.3739038705825806 | Accuracy: 42.1875%
